part_id,part_name,criticality_level
1,Sensor,High
2,Sensor,Medium
3,Sensor,High
4,Brake,High
5,Battery,Medium
6,Brake,Low
7,Battery,Low
8,Sensor,High
9,Battery,Medium
10,Engine,Low
11,Sensor,High
12,Brake,High
13,Sensor,Low
14,Engine,Medium
15,Sensor,Medium
16,Battery,High
17,Engine,Low
18,Engine,Low
19,Sensor,Medium
20,Battery,Low
21,Engine,High
22,Brake,Low
23,Brake,High
24,Battery,Low
25,Battery,High
26,Battery,Low
27,Sensor,Low
28,Engine,High
29,Brake,Low
30,Engine,High
31,Battery,Medium
32,Sensor,Low
33,Brake,Medium
34,Battery,High
35,Sensor,Low
36,Sensor,High
37,Engine,Low
38,Battery,Medium
39,Engine,Low
40,Brake,Medium
41,Engine,Low
42,Sensor,Medium
43,Brake,High
44,Sensor,High
45,Brake,High
46,Brake,Low
47,Engine,Low
48,Engine,Low
49,Engine,Low
50,Brake,High
51,Engine,High
52,Battery,High
53,Brake,Medium
54,Battery,High
55,Engine,Medium
56,Engine,Medium
57,Engine,Low
58,Battery,Medium
59,Engine,Low
60,Battery,Medium
61,Engine,High
62,Sensor,Medium
63,Engine,Low
64,Brake,Medium
65,Brake,Low
66,Engine,Low
67,Sensor,High
68,Battery,High
69,Battery,Medium
70,Sensor,Medium
71,Sensor,Medium
72,Sensor,Low
73,Sensor,High
74,Engine,Low
75,Brake,High
76,Engine,Medium
77,Brake,High
78,Brake,Medium
79,Sensor,High
80,Sensor,Medium
81,Sensor,High
82,Sensor,Medium
83,Brake,Low
84,Sensor,Medium
85,Battery,Medium
86,Brake,High
87,Battery,Low
88,Engine,Medium
89,Engine,High
90,Brake,Medium
91,Battery,Medium
92,Battery,Low
93,Sensor,High
94,Battery,Low
95,Battery,Medium
96,Brake,High
97,Brake,High
98,Brake,Low
99,Battery,High
100,Brake,Medium
101,Battery,Medium
102,Brake,Medium
103,Engine,Medium
104,Engine,High
105,Sensor,High
106,Engine,Low
107,Brake,High
108,Engine,Medium
109,Sensor,Low
110,Brake,High
111,Sensor,Low
112,Engine,Medium
113,Engine,Medium
114,Engine,Low
115,Sensor,Medium
116,Engine,High
117,Battery,High
118,Brake,High
119,Battery,Medium
120,Engine,High
121,Sensor,High
122,Battery,Medium
123,Brake,Medium
124,Sensor,High
125,Sensor,High
126,Brake,Low
127,Engine,Medium
128,Engine,High
129,Engine,Low
130,Brake,High
131,Engine,Medium
132,Battery,High
133,Sensor,Medium
134,Battery,Medium
135,Brake,Low
136,Brake,Low
137,Battery,High
138,Brake,Low
139,Sensor,Low
140,Sensor,High
141,Engine,Medium
142,Engine,High
