region_id,region_name,climate
1,Europe,Hot
2,Asia,Temperate
3,Africa,Cold
4,America,Hot
5,America,Hot
6,America,Hot
7,America,Cold
8,Africa,Temperate
9,Africa,Temperate
10,Europe,Cold
11,America,Cold
12,America,Hot
13,America,Cold
14,Africa,Temperate
15,America,Cold
16,Africa,Temperate
17,Europe,Cold
18,America,Temperate
19,Europe,Cold
20,Africa,Cold
21,Europe,Hot
22,Asia,Hot
23,Europe,Cold
24,Africa,Temperate
25,Europe,Temperate
26,Europe,Cold
27,Africa,Hot
28,Africa,Temperate
29,America,Hot
30,Europe,Hot
31,America,Hot
32,Asia,Cold
33,Asia,Temperate
34,Africa,Cold
35,America,Hot
36,Asia,Temperate
37,Europe,Temperate
38,Africa,Cold
39,Europe,Temperate
40,America,Temperate
41,America,Cold
42,Asia,Hot
43,America,Hot
44,Asia,Temperate
45,Asia,Hot
46,Africa,Hot
47,Asia,Cold
48,America,Hot
49,America,Cold
50,Africa,Cold
51,America,Hot
52,Africa,Cold
53,Africa,Temperate
54,Africa,Cold
55,Africa,Cold
56,Africa,Cold
57,Asia,Hot
58,America,Cold
59,Africa,Temperate
60,Europe,Hot
61,Europe,Hot
62,Europe,Hot
63,America,Temperate
64,America,Cold
65,Asia,Cold
66,Africa,Temperate
67,Asia,Temperate
68,Asia,Hot
69,Africa,Temperate
70,Asia,Cold
71,Africa,Hot
72,Africa,Temperate
73,Africa,Hot
74,Europe,Temperate
75,America,Cold
76,Africa,Temperate
77,Africa,Cold
78,Asia,Temperate
79,Europe,Temperate
80,Asia,Hot
81,Asia,Cold
82,Europe,Temperate
83,Asia,Temperate
84,Asia,Temperate
85,Africa,Hot
86,Europe,Cold
87,Europe,Hot
88,Europe,Hot
89,Asia,Hot
90,America,Temperate
91,Asia,Hot
92,America,Cold
93,Europe,Cold
94,Asia,Cold
95,America,Cold
96,Europe,Hot
97,Asia,Temperate
98,Europe,Temperate
99,America,Temperate
100,Europe,Cold
101,America,Cold
102,Asia,Hot
103,America,Cold
104,Europe,Hot
105,Europe,Hot
106,America,Cold
107,Africa,Temperate
108,Europe,Cold
109,Europe,Cold
110,Africa,Cold
111,America,Temperate
112,Europe,Hot
113,Europe,Hot
114,Africa,Hot
115,Asia,Temperate
116,America,Temperate
117,Europe,Temperate
118,Asia,Hot
119,Europe,Hot
120,Europe,Temperate
121,Asia,Hot
122,Africa,Temperate
123,America,Hot
124,Africa,Cold
125,Europe,Temperate
126,Africa,Cold
127,Europe,Temperate
128,Europe,Hot
129,Asia,Cold
130,Asia,Hot
131,Africa,Temperate
132,Asia,Hot
133,Europe,Hot
134,Africa,Cold
135,Asia,Hot
136,Africa,Hot
137,America,Temperate
138,Africa,Hot
139,America,Cold
140,Europe,Temperate
141,Africa,Temperate
142,Europe,Hot
143,Europe,Cold
144,Africa,Cold
145,Asia,Hot
146,Asia,Cold
147,Africa,Hot
148,America,Hot
149,Europe,Temperate
150,America,Hot
151,Europe,Cold
152,Africa,Temperate
153,Africa,Hot
154,Asia,Cold
155,Europe,Temperate
156,Europe,Temperate
157,America,Temperate
158,Africa,Temperate
159,Europe,Hot
160,Africa,Hot
161,Europe,Cold
162,America,Cold
163,Asia,Hot
164,Europe,Hot
165,Africa,Temperate
166,America,Temperate
167,Africa,Temperate
168,Europe,Temperate
169,Asia,Cold
170,America,Cold
171,Asia,Cold
172,Asia,Hot
173,Africa,Temperate
174,Africa,Hot
175,America,Temperate
176,Asia,Hot
177,Europe,Temperate
178,Europe,Hot
179,Europe,Cold
180,Europe,Hot
181,Africa,Hot
182,Asia,Hot
183,Asia,Hot
184,America,Hot
185,Europe,Cold
186,Asia,Cold
187,Africa,Cold
188,America,Temperate
189,Europe,Hot
190,America,Temperate
191,Asia,Temperate
192,Africa,Temperate
193,Asia,Cold
194,America,Hot
195,Africa,Cold
196,Asia,Temperate
197,Asia,Hot
198,Africa,Temperate
199,Asia,Temperate
200,Europe,Cold
201,Asia,Cold
202,America,Cold
203,Asia,Cold
204,Africa,Hot
205,Europe,Temperate
206,Asia,Hot
207,Asia,Hot
208,America,Temperate
209,America,Temperate
210,Asia,Hot
211,America,Temperate
212,Asia,Hot
213,Africa,Temperate
214,Asia,Temperate
215,Africa,Cold
216,Europe,Temperate
217,Africa,Hot
218,Europe,Temperate
219,Europe,Temperate
220,Europe,Cold
221,America,Temperate
222,Asia,Temperate
223,Africa,Cold
224,Europe,Cold
225,Africa,Cold
226,Europe,Cold
227,America,Temperate
228,Europe,Cold
229,Europe,Hot
230,Asia,Cold
231,Africa,Hot
232,Asia,Temperate
233,America,Temperate
234,Africa,Cold
235,America,Temperate
236,Europe,Hot
237,America,Cold
238,Africa,Hot
239,Africa,Hot
240,Africa,Cold
241,Asia,Cold
242,Europe,Hot
243,Africa,Cold
244,America,Cold
245,America,Temperate
246,America,Temperate
247,Africa,Cold
248,Africa,Hot
249,America,Cold
250,America,Temperate
251,Europe,Cold
252,Africa,Temperate
253,America,Temperate
254,Africa,Hot
255,Europe,Cold
256,Asia,Temperate
257,Africa,Cold
258,Africa,Hot
259,Europe,Hot
260,Africa,Hot
261,America,Hot
262,Europe,Cold
263,Asia,Temperate
264,Europe,Cold
265,America,Cold
266,Africa,Temperate
267,Europe,Hot
268,America,Cold
269,America,Hot
270,America,Temperate
271,Europe,Temperate
272,Europe,Temperate
273,Europe,Hot
274,Asia,Hot
275,America,Temperate
276,Europe,Hot
277,Europe,Hot
278,Africa,Temperate
279,Africa,Hot
280,Europe,Cold
281,Europe,Temperate
282,Asia,Temperate
283,Africa,Temperate
284,Asia,Hot
285,Europe,Temperate
286,Asia,Hot
287,America,Hot
288,Asia,Cold
289,Africa,Hot
290,Africa,Cold
291,Africa,Cold
292,Africa,Cold
293,Europe,Cold
294,Africa,Cold
295,Europe,Hot
296,America,Hot
297,Africa,Cold
298,America,Hot
299,America,Hot
300,Europe,Cold
301,Asia,Temperate
302,Africa,Hot
303,Africa,Hot
304,Asia,Temperate
305,Africa,Hot
306,Europe,Hot
307,Asia,Temperate
308,Africa,Cold
309,Africa,Cold
310,Europe,Hot
311,Africa,Hot
312,Europe,Cold
313,America,Cold
314,Africa,Hot
315,Asia,Temperate
316,Europe,Temperate
317,Europe,Cold
318,Africa,Cold
319,Europe,Hot
320,America,Temperate
321,Europe,Temperate
322,America,Hot
323,Asia,Temperate
324,Europe,Temperate
325,Asia,Temperate
326,America,Temperate
327,Europe,Temperate
328,America,Cold
329,America,Hot
330,Asia,Cold
331,Asia,Cold
332,Asia,Temperate
333,America,Hot
334,America,Cold
335,Asia,Temperate
336,America,Temperate
337,Asia,Temperate
338,Africa,Hot
339,Europe,Cold
340,Africa,Cold
341,America,Hot
342,Europe,Hot
343,America,Temperate
344,America,Temperate
345,Europe,Cold
346,America,Temperate
347,America,Temperate
348,America,Hot
349,Asia,Cold
350,America,Temperate
351,Europe,Temperate
352,Africa,Temperate
353,Europe,Hot
354,Europe,Cold
355,Africa,Hot
356,America,Temperate
357,Africa,Cold
358,Africa,Temperate
359,Asia,Cold
360,Asia,Hot
361,Europe,Hot
362,Europe,Temperate
363,Asia,Temperate
364,Africa,Temperate
365,Africa,Hot
366,Africa,Hot
367,America,Cold
368,Asia,Cold
369,America,Cold
370,Africa,Hot
371,America,Cold
372,Europe,Temperate
373,Asia,Temperate
374,Africa,Hot
375,Europe,Hot
376,America,Cold
377,Europe,Hot
378,Africa,Hot
379,Asia,Temperate
380,Asia,Cold
381,Africa,Hot
382,Asia,Cold
383,Europe,Hot
384,Africa,Cold
385,America,Temperate
386,Asia,Temperate
387,America,Temperate
388,Asia,Temperate
389,Asia,Temperate
390,Africa,Cold
391,Africa,Hot
392,Europe,Temperate
393,America,Hot
394,America,Cold
395,Africa,Hot
396,Africa,Hot
397,America,Hot
398,America,Hot
399,Asia,Temperate
400,Asia,Temperate
401,Africa,Hot
402,America,Hot
403,Asia,Cold
404,Asia,Cold
405,America,Hot
406,America,Temperate
407,Africa,Temperate
408,America,Temperate
409,Africa,Temperate
410,Asia,Hot
411,Europe,Temperate
412,Europe,Cold
413,America,Temperate
414,Africa,Hot
415,Europe,Cold
416,Asia,Cold
417,Asia,Cold
418,Africa,Hot
419,Europe,Temperate
420,Asia,Cold
421,Asia,Hot
422,America,Temperate
423,Europe,Cold
424,America,Temperate
425,Asia,Hot
426,Asia,Hot
427,Europe,Hot
428,Europe,Cold
429,Africa,Hot
430,Europe,Temperate
431,Africa,Cold
432,America,Temperate
433,Europe,Hot
434,America,Hot
435,America,Temperate
436,Africa,Cold
437,Asia,Hot
438,Africa,Cold
439,Africa,Hot
440,America,Temperate
441,Asia,Temperate
442,Europe,Cold
443,Europe,Cold
444,America,Cold
445,Africa,Hot
446,Europe,Temperate
447,Africa,Hot
448,Asia,Cold
449,Europe,Hot
450,Europe,Cold
451,Europe,Hot
452,America,Hot
453,Asia,Cold
454,Africa,Hot
455,Africa,Cold
456,Asia,Temperate
457,Africa,Cold
458,America,Cold
459,Africa,Temperate
460,America,Hot
461,America,Cold
462,Asia,Hot
463,America,Hot
464,Europe,Cold
465,America,Cold
466,Africa,Cold
467,Asia,Cold
468,Africa,Temperate
469,Europe,Cold
470,America,Temperate
471,Europe,Cold
472,America,Hot
473,Europe,Cold
474,Europe,Hot
475,Europe,Temperate
476,Europe,Hot
477,Europe,Temperate
478,Europe,Cold
479,America,Cold
480,Africa,Hot
481,Asia,Hot
482,Asia,Hot
483,Africa,Hot
484,America,Temperate
485,America,Temperate
486,Asia,Hot
487,Asia,Cold
488,Europe,Hot
489,Africa,Temperate
490,Europe,Temperate
