vehicle_id,vehicle_type,engine_type,vehicle_age
1,Bus,Electric,4
2,Truck,Electric,7
3,Bus,Electric,9
4,Bus,Hybrid,6
5,Truck,Diesel,10
6,Truck,Hybrid,8
7,Bus,Electric,6
8,Car,Hybrid,1
9,Bus,Diesel,2
10,Bus,Electric,5
11,Bus,Diesel,0
12,Bus,Diesel,7
13,Truck,Diesel,6
14,Bus,Electric,5
15,Car,Hybrid,4
16,Truck,Electric,13
17,Car,Electric,14
18,Car,Hybrid,9
19,Car,Hybrid,4
20,Car,Hybrid,12
21,Truck,Hybrid,7
22,Truck,Diesel,7
23,Car,Electric,14
24,Car,Electric,12
25,Truck,Electric,2
26,Truck,Hybrid,8
27,Truck,Electric,2
28,Bus,Diesel,12
29,Bus,Electric,14
30,Bus,Electric,9
31,Car,Diesel,13
32,Bus,Diesel,7
33,Car,Electric,6
34,Car,Hybrid,12
35,Bus,Hybrid,8
36,Car,Electric,10
37,Bus,Electric,8
38,Bus,Electric,10
39,Truck,Electric,13
40,Bus,Hybrid,14
41,Truck,Electric,0
42,Bus,Diesel,0
43,Bus,Hybrid,2
44,Truck,Hybrid,6
45,Truck,Diesel,2
46,Bus,Electric,2
47,Car,Electric,3
48,Truck,Electric,7
49,Car,Electric,13
50,Car,Electric,0
51,Car,Diesel,3
52,Truck,Electric,3
53,Car,Diesel,12
54,Truck,Diesel,7
55,Car,Diesel,6
56,Bus,Electric,3
57,Bus,Electric,11
58,Truck,Hybrid,7
59,Bus,Hybrid,10
60,Bus,Diesel,2
61,Car,Hybrid,9
62,Truck,Diesel,13
63,Car,Hybrid,6
64,Car,Electric,8
65,Car,Electric,5
66,Car,Diesel,3
67,Car,Diesel,3
68,Car,Electric,0
69,Car,Electric,5
70,Truck,Electric,2
71,Bus,Hybrid,2
72,Car,Hybrid,0
73,Car,Hybrid,6
74,Car,Hybrid,8
75,Car,Diesel,2
76,Car,Diesel,6
77,Car,Hybrid,8
78,Bus,Diesel,14
79,Bus,Hybrid,13
80,Car,Hybrid,2
81,Bus,Electric,8
82,Truck,Hybrid,10
83,Car,Diesel,1
84,Truck,Hybrid,2
85,Truck,Electric,10
86,Car,Diesel,3
87,Bus,Electric,13
88,Truck,Hybrid,6
89,Car,Hybrid,10
90,Truck,Hybrid,8
91,Truck,Hybrid,12
92,Truck,Diesel,0
93,Truck,Hybrid,11
94,Bus,Electric,8
95,Truck,Diesel,9
96,Truck,Diesel,12
97,Truck,Diesel,4
98,Bus,Electric,14
99,Truck,Electric,13
100,Truck,Electric,3
101,Bus,Electric,13
102,Bus,Hybrid,12
103,Bus,Hybrid,10
104,Truck,Electric,11
105,Bus,Electric,5
106,Bus,Hybrid,9
107,Truck,Hybrid,4
108,Bus,Electric,4
109,Truck,Diesel,11
110,Car,Diesel,4
111,Bus,Electric,14
112,Car,Diesel,7
113,Truck,Hybrid,12
114,Bus,Diesel,9
115,Truck,Electric,7
116,Car,Diesel,9
117,Truck,Diesel,3
118,Bus,Diesel,12
119,Bus,Hybrid,13
120,Car,Hybrid,14
121,Truck,Hybrid,8
122,Bus,Electric,7
123,Car,Diesel,11
124,Bus,Hybrid,5
125,Bus,Hybrid,1
126,Truck,Diesel,8
127,Bus,Electric,5
128,Truck,Diesel,7
129,Bus,Electric,5
130,Car,Diesel,4
131,Bus,Hybrid,6
132,Truck,Hybrid,11
133,Truck,Hybrid,3
134,Car,Electric,9
135,Bus,Diesel,10
136,Bus,Electric,2
137,Car,Hybrid,10
138,Bus,Electric,11
139,Bus,Electric,14
140,Truck,Electric,6
141,Bus,Diesel,1
142,Bus,Electric,9
143,Car,Electric,2
144,Car,Electric,0
145,Truck,Hybrid,10
146,Bus,Hybrid,11
147,Bus,Diesel,0
148,Bus,Hybrid,1
149,Truck,Diesel,12
150,Truck,Hybrid,13
151,Car,Diesel,0
152,Truck,Diesel,14
153,Bus,Diesel,1
154,Bus,Hybrid,0
155,Truck,Electric,2
156,Bus,Hybrid,8
157,Bus,Electric,8
158,Truck,Hybrid,7
159,Truck,Electric,8
160,Bus,Hybrid,11
161,Bus,Diesel,13
162,Bus,Diesel,3
163,Car,Diesel,13
164,Car,Electric,7
165,Car,Electric,10
166,Truck,Diesel,4
167,Car,Electric,3
168,Truck,Diesel,12
169,Truck,Hybrid,3
170,Car,Electric,1
171,Car,Electric,9
172,Car,Hybrid,8
173,Bus,Electric,12
174,Car,Electric,8
175,Bus,Electric,13
176,Truck,Hybrid,0
177,Bus,Diesel,11
178,Car,Diesel,3
179,Truck,Hybrid,8
180,Truck,Hybrid,13
181,Truck,Hybrid,3
182,Bus,Diesel,13
183,Car,Hybrid,1
184,Truck,Diesel,1
185,Truck,Hybrid,12
186,Truck,Electric,9
187,Bus,Diesel,13
188,Bus,Diesel,8
189,Car,Hybrid,10
190,Bus,Electric,3
191,Truck,Diesel,0
192,Car,Hybrid,11
193,Truck,Electric,12
194,Truck,Diesel,0
195,Bus,Hybrid,0
196,Car,Electric,7
197,Bus,Diesel,0
198,Bus,Diesel,4
199,Car,Electric,8
200,Truck,Hybrid,3
201,Truck,Hybrid,10
202,Car,Electric,8
203,Truck,Diesel,4
204,Car,Electric,12
205,Car,Electric,8
206,Bus,Electric,12
207,Car,Diesel,14
208,Bus,Electric,1
209,Truck,Electric,13
210,Truck,Diesel,12
211,Truck,Diesel,7
212,Truck,Electric,6
213,Bus,Hybrid,6
214,Truck,Electric,2
215,Car,Diesel,9
216,Car,Diesel,11
217,Car,Diesel,1
218,Bus,Hybrid,10
219,Truck,Diesel,13
220,Truck,Hybrid,9
221,Truck,Diesel,0
222,Bus,Diesel,12
223,Car,Electric,0
224,Car,Hybrid,6
225,Truck,Electric,8
226,Car,Hybrid,14
227,Car,Diesel,0
228,Bus,Diesel,14
229,Bus,Hybrid,9
230,Bus,Electric,3
231,Bus,Hybrid,14
232,Truck,Hybrid,13
233,Bus,Hybrid,12
234,Car,Diesel,1
235,Truck,Hybrid,13
236,Car,Diesel,7
237,Car,Electric,8
238,Car,Diesel,2
239,Bus,Electric,2
240,Bus,Electric,6
241,Truck,Electric,8
242,Truck,Diesel,6
243,Bus,Hybrid,11
244,Car,Diesel,13
245,Truck,Electric,12
246,Bus,Hybrid,6
247,Bus,Diesel,13
248,Bus,Electric,1
249,Car,Electric,11
250,Bus,Hybrid,10
