hr_event_id,region_id,required_technicians,availability_rate
1,16280,10,0.69
2,15971,12,0.32
3,19527,2,0.88
4,21740,16,0.03
5,27626,7,0.56
6,20705,2,0.45
7,14887,5,0.1
8,22228,6,0.77
9,2149,16,0.33
10,7224,14,0.94
11,28028,5,0.91
12,19977,1,0.56
13,17979,5,0.91
14,28977,17,0.44
15,31780,4,0.81
16,1649,15,0.82
17,11543,12,0.23
18,30096,18,0.37
19,29325,5,0.9
20,19456,10,0.59
21,2782,14,0.58
22,16795,15,0.22
23,3567,14,0.58
24,27392,16,0.72
25,25643,16,0.67
26,21919,16,0.65
27,9635,3,0.82
28,5457,14,0.0
29,8142,11,0.68
30,19128,19,0.68
31,28990,1,0.41
32,16101,9,0.86
33,10053,13,0.79
34,26518,3,0.47
35,15220,8,0.45
36,2513,4,0.94
37,3948,14,0.63
38,24565,12,0.33
39,18786,6,0.65
40,18262,16,0.76
41,333,11,0.36
42,11995,8,0.92
43,28707,5,0.34
44,24289,5,0.96
45,8410,2,0.34
46,28304,4,0.77
47,2593,16,0.1
48,20267,16,0.66
49,4981,6,0.79
50,3844,18,0.89
51,28671,15,0.45
52,23834,15,0.45
53,28440,14,0.9
54,20287,18,0.19
55,13987,1,0.93
56,7153,12,0.52
57,9612,10,0.15
58,2281,12,0.19
59,22058,14,0.39
60,28986,13,0.46
61,17468,1,0.57
62,519,13,0.47
63,22355,15,0.45
64,26364,13,0.32
65,5751,17,0.24
66,27544,12,0.55
67,7667,4,0.98
68,24001,3,0.54
69,25833,15,0.0
70,3249,12,0.72
71,21366,19,0.26
72,16991,12,0.34
73,18398,3,0.01
74,23752,15,0.99
75,15596,16,0.44
76,679,10,0.61
77,15828,8,0.96
78,29265,18,0.02
79,4488,9,0.85
80,3852,5,0.96
81,34348,8,0.25
82,33902,16,0.04
83,5979,17,0.5
84,20309,14,0.22
85,16240,18,0.17
86,6237,4,0.33
87,34065,16,0.09
88,17378,4,0.33
89,11125,6,0.99
90,33133,1,0.23
91,32374,7,0.02
92,27971,7,0.49
93,24424,13,0.7
94,18015,9,0.85
95,28357,18,0.94
96,12632,9,0.86
97,7866,19,0.48
98,9436,4,0.46
99,1199,10,0.24
100,34497,6,0.2
101,16566,14,0.88
102,1398,15,0.69
103,30019,4,0.55
104,31291,17,0.52
105,9259,7,0.57
106,10741,19,0.99
107,17141,6,0.2
108,6312,3,0.23
109,15158,13,0.33
110,29271,18,0.83
