inventory_event_id,part_id,stock_level,reorder_probability
1,5285,480,0.61
2,6610,177,0.02
3,8251,199,0.14
4,24008,185,0.84
5,15986,194,0.75
6,23770,424,0.13
7,4510,379,0.82
8,6794,42,0.76
9,4984,266,0.16
10,31427,9,0.97
11,7252,28,0.32
12,20473,212,0.8
13,9987,231,0.21
14,20229,315,0.89
15,34368,230,0.6
16,22766,401,0.75
17,15684,424,0.65
18,20320,451,0.91
19,32568,494,0.55
20,29621,14,0.71
21,18389,338,0.74
22,4531,300,0.52
23,17847,414,0.67
24,6128,99,0.65
25,24186,464,0.9
26,16080,360,0.84
27,23391,339,0.1
28,22370,4,0.93
29,26425,367,0.45
30,16714,333,0.54
31,3569,65,0.01
32,34572,136,0.06
33,23556,343,0.48
34,17039,275,0.05
35,9910,69,0.67
36,31773,443,0.09
37,10086,178,0.19
38,31081,266,0.85
39,7214,27,0.64
40,10211,492,0.97
41,9502,411,0.74
42,22183,180,0.22
43,16016,292,0.43
44,20614,168,0.71
45,31052,469,0.59
46,23863,272,0.46
47,1486,317,0.27
48,27972,348,0.51
49,32165,236,0.88
50,25983,229,0.65
51,4647,486,0.93
52,32173,433,0.57
53,22400,28,0.54
54,28916,361,0.14
55,21977,438,0.92
56,26459,313,0.09
57,2926,251,0.22
58,12208,221,0.62
59,33391,217,0.25
60,3520,227,0.28
61,85,340,0.61
62,9879,433,0.71
63,31162,487,0.68
64,25844,12,0.92
65,21718,315,0.77
66,21045,133,0.28
67,578,50,0.42
68,3539,47,0.82
69,1985,133,0.24
70,25449,297,0.02
71,32002,186,0.75
72,33640,398,0.11
73,26572,331,0.76
74,17704,169,0.77
75,10190,345,0.41
76,21963,342,0.82
77,16348,155,0.97
78,1949,247,0.68
79,13476,487,0.61
80,7540,263,0.91
81,13166,347,0.67
82,10609,89,0.93
83,29344,490,0.72
84,17383,118,0.55
85,32681,484,0.55
86,17476,228,0.05
87,13988,434,0.01
88,18604,424,0.53
89,29656,29,0.04
90,20565,407,0.38
91,8187,453,0.33
92,17402,275,0.16
93,20002,139,0.57
94,14247,44,0.31
95,4916,433,0.24
96,27450,148,0.17
97,10691,263,0.28
98,28099,345,0.06
99,12830,384,0.56
100,7478,242,0.06
101,17127,456,0.87
102,34469,94,0.83
103,29544,232,0.53
104,896,240,0.41
105,31954,241,0.55
106,5554,327,0.71
107,7434,175,0.62
108,22288,244,0.13
109,5978,327,0.76
110,15262,278,0.58
111,8332,323,0.38
112,28970,451,0.73
113,1711,105,0.22
114,11098,369,0.43
115,13030,326,0.11
116,4793,76,0.85
117,10867,273,0.02
118,34699,18,0.42
119,14919,433,0.19
120,23753,161,0.06
121,8825,0,0.95
122,4481,19,0.19
123,29491,373,0.63
124,12280,350,0.79
125,17700,259,0.92
126,29400,88,0.38
127,33291,363,0.61
128,23512,22,0.55
129,6831,417,0.15
130,25652,142,0.39
131,13684,242,0.8
132,14669,119,0.07
133,29211,192,0.09
134,20251,268,0.33
135,20410,221,0.11
136,4186,330,0.67
137,8992,438,0.15
138,18737,477,0.92
139,30620,293,0.93
140,10914,263,0.32
141,16837,489,0.86
142,8311,418,0.77
143,29674,130,0.43
144,30324,423,0.41
145,25244,264,0.17
146,19214,37,0.78
147,12783,238,0.35
148,15105,256,0.26
149,32510,18,0.93
150,12814,394,0.75
151,16430,440,0.66
152,3525,293,0.86
153,13123,185,0.53
154,12051,116,0.01
155,1001,139,0.57
156,16027,132,0.58
157,14883,357,0.72
158,30118,434,0.23
159,15520,14,0.15
160,14694,347,0.9
161,18194,224,0.93
162,16606,156,0.56
163,8607,412,0.17
164,2264,62,0.5
165,15859,104,0.2
166,21737,173,0.88
167,26056,239,0.65
168,29755,368,0.64
169,17519,372,0.57
170,17125,267,0.2
171,16827,471,0.44
172,13861,17,0.56
173,1808,302,0.33
174,32946,310,0.71
175,15776,258,0.01
176,27277,103,0.22
177,31368,359,0.41
178,18497,10,0.02
179,21140,248,0.68
180,17098,254,0.55
181,23731,321,0.25
182,3126,334,0.26
183,15736,207,0.35
184,2383,155,0.03
185,13484,85,0.55
186,23040,426,0.47
187,1297,323,0.89
188,30271,167,0.95
189,28276,183,0.1
190,8884,420,0.07
191,22522,270,0.71
192,6455,221,0.03
193,11842,275,0.75
194,5776,481,0.9
195,29176,273,0.62
196,15831,153,0.04
197,8855,262,0.2
198,4876,448,0.15
199,20323,228,0.35
200,24659,230,0.83
201,26802,172,0.58
202,3031,412,0.42
203,11055,178,0.24
204,16145,78,0.35
205,1592,428,0.34
206,9677,482,0.66
207,32815,262,0.09
208,15517,428,0.3
209,29235,152,0.77
210,8945,245,0.48
211,15130,381,0.58
212,29540,209,0.23
213,22633,443,0.55
214,30147,432,0.88
215,17655,267,0.29
216,8383,368,0.79
217,9880,383,0.6
218,27455,67,0.36
219,13933,50,0.85
220,5402,477,0.28
221,1269,420,0.36
222,19697,282,0.28
223,19462,322,0.76
224,6822,138,0.05
225,15652,462,0.42
226,16684,31,0.76
227,29244,218,0.21
228,33202,460,0.64
229,21434,249,0.19
230,23549,34,0.35
231,13485,9,0.15
232,26172,2,0.81
233,5890,45,0.96
234,33760,88,0.66
235,32910,442,0.48
236,400,99,0.27
237,12811,338,0.42
238,13443,316,0.79
239,12548,370,0.82
240,18456,122,0.12
241,11829,228,0.21
242,25590,217,0.44
243,7867,226,0.92
244,26779,124,0.19
245,25389,50,0.09
246,31616,2,0.24
247,4754,453,0.8
248,9416,26,0.06
249,18279,382,0.19
250,2580,497,0.74
251,29416,0,0.58
252,33073,116,0.06
253,658,101,0.24
254,431,311,0.62
255,15199,149,0.66
256,719,437,0.69
257,12151,169,0.85
258,22798,60,0.73
259,3067,101,0.53
260,5546,402,0.19
261,21440,302,0.17
262,26610,127,0.2
263,5835,289,0.05
264,10516,2,0.46
265,23802,107,0.55
266,4999,396,0.74
267,8435,214,0.58
268,7370,215,0.39
269,34623,438,0.81
270,19152,349,0.97
271,26209,70,0.76
272,32070,441,0.91
273,4275,64,0.75
274,19951,330,0.91
275,21117,435,0.85
276,15828,420,0.31
277,15887,194,0.54
278,1903,250,0.89
279,5105,397,0.36
280,22962,204,0.57
281,21325,77,0.61
282,9779,449,0.71
283,21173,293,0.54
284,11601,345,0.32
285,15785,180,0.97
286,28296,483,0.84
287,4388,186,0.01
288,26136,298,1.0
289,17219,417,0.5
290,13105,95,0.83
291,5300,271,0.22
292,27679,470,0.55
293,11013,116,0.26
294,11819,383,0.14
295,10124,448,0.07
296,14365,16,0.73
297,19469,271,0.5
298,3565,369,0.45
299,17909,397,0.6
300,11756,124,0.38
301,17015,52,0.13
302,1467,79,0.38
303,20516,111,0.57
304,14756,6,0.58
305,13370,216,0.29
306,30115,448,0.93
307,622,203,0.46
308,33895,67,0.08
309,30496,250,0.98
310,2137,357,0.89
311,13700,271,0.03
312,31592,210,0.21
313,22405,209,0.02
314,11633,179,0.04
315,13457,499,0.34
316,7111,341,0.02
317,3370,398,0.32
318,14533,367,0.39
319,9632,44,0.58
320,25595,342,0.49
321,11990,267,0.69
322,26492,141,0.44
323,25775,264,0.44
324,33781,152,0.53
325,29265,161,0.29
326,20748,4,0.83
327,13208,493,0.72
328,22271,218,0.23
329,25005,70,0.62
330,23817,82,0.06
331,11434,472,0.99
332,6495,127,0.91
333,16027,194,0.37
334,13602,259,0.94
335,12010,17,0.23
336,13282,28,0.36
337,34561,419,0.35
338,1438,52,0.05
339,8207,81,0.33
340,10967,389,0.88
341,2088,452,0.08
342,34713,148,0.56
343,18100,297,0.88
344,1278,490,0.15
345,420,408,0.53
346,999,362,0.08
347,9738,102,0.29
348,31152,111,0.26
349,1780,24,0.23
350,30193,360,0.85
351,3812,459,0.9
352,1648,51,0.16
353,2459,223,0.65
354,33242,234,0.56
355,10949,83,0.15
356,33267,254,0.86
357,16811,44,0.81
358,7876,95,0.08
359,27321,35,0.55
360,23932,315,0.39
361,22625,175,0.81
362,23858,371,0.62
363,14091,215,0.21
364,11244,238,0.7
365,24212,245,0.71
366,27908,58,0.69
