investment_event_id,region_id,predicted_budget,roi_prediction
1,10708,15400.0,0.55
2,28013,299720.13,0.58
3,24545,129641.75,0.67
4,6171,248927.46,0.39
5,8283,73194.43,0.17
6,30705,87221.17,0.77
7,31634,184736.62,0.24
8,31791,297635.17,0.55
9,26574,447732.44,0.5
10,25458,15745.97,0.83
11,27408,249888.27,0.71
12,8192,478744.91,0.34
13,9690,391855.12,0.17
14,17590,80396.16,0.6
15,34070,388234.39,0.87
16,16341,328474.07,0.39
17,17831,119949.28,0.61
18,24754,190907.12,0.27
19,21686,411623.13,0.85
20,23521,231822.13,0.31
21,22539,383950.41,0.38
22,20595,180588.08,0.29
23,26867,398499.66,0.19
24,18316,467956.09,0.56
25,23021,28321.04,0.56
26,214,426898.59,0.72
27,30547,473562.64,0.15
28,34152,171180.16,0.77
29,4779,476988.27,0.39
30,456,226040.68,0.35
31,5986,200450.61,0.37
32,29426,232530.01,0.33
33,29894,276312.44,0.65
34,16481,291822.14,0.41
35,7821,245228.9,0.64
36,18423,135853.88,0.85
37,7139,337509.67,0.57
38,24303,74964.44,0.28
39,6390,401594.38,0.17
40,13030,131011.59,0.36
41,11770,378871.21,0.87
42,20738,363063.93,0.34
43,13653,141513.35,0.53
44,7459,478093.93,0.13
45,19090,389032.37,0.16
46,12574,309447.39,0.46
47,32927,272970.8,0.67
48,14040,15409.06,0.33
49,26110,131523.14,0.62
50,14003,436674.85,0.7
51,31280,308332.64,0.37
52,25746,199408.36,0.11
53,4709,376163.66,0.54
54,20543,99628.97,0.71
55,17138,321677.51,0.36
56,2798,60929.65,0.82
57,25419,134804.25,0.81
58,16342,219360.56,0.14
59,12398,206438.5,0.35
60,26136,407445.6,0.62
61,6996,473401.5,0.66
62,117,422813.69,0.58
63,21051,272648.95,0.66
64,10765,405052.8,0.37
65,22383,454884.0,0.62
66,2989,494952.79,0.67
67,4284,57680.47,0.13
68,12553,488417.48,0.21
69,24374,371221.11,0.27
70,29401,406703.46,0.36
71,27767,208531.52,0.71
72,5958,346264.04,0.4
73,32972,64256.47,0.18
74,19113,248500.47,0.18
75,19208,11642.54,0.84
76,15088,345232.88,0.83
77,23071,223838.16,0.24
78,2218,169380.84,0.44
79,30550,487800.13,0.88
80,8551,101701.74,0.18
81,21178,449983.23,0.65
