event_id,time_id,vehicle_id,part_id,failure_probability,predicted_days_to_failure
1,26460,16821,13398,0.102,17
2,5014,7549,20206,0.609,119
3,12272,2940,30111,0.256,174
4,24578,24290,14676,0.224,172
5,13367,33596,29624,0.592,159
6,11439,18060,12577,0.376,121
7,11059,9885,29324,0.337,58
8,17836,6703,11397,0.619,162
9,7535,26674,34515,0.084,125
10,23283,22893,11066,0.363,10
11,1651,25877,26003,0.088,133
12,24727,16698,22904,0.347,8
13,16377,7372,8724,0.569,142
14,16940,23207,18884,0.587,158
15,19021,33104,13413,0.949,37
16,4686,11252,13833,0.92,19
17,32258,33886,11209,0.562,103
18,6256,9779,14116,0.158,154
19,25986,21717,25361,0.397,157
20,30358,32617,33580,0.822,39
21,18179,20310,24052,0.802,76
22,6020,29081,100,0.713,31
23,4235,21366,1322,0.811,40
24,1999,15014,14637,0.734,101
25,19236,31416,3406,0.116,59
26,26735,19497,22164,0.012,154
27,20498,27704,27154,0.681,107
28,18588,33844,12289,0.841,28
29,22793,17717,23127,0.573,80
30,13618,31762,24157,0.263,143
31,34547,25170,21013,0.349,162
32,23,898,9728,0.839,25
33,21332,5435,15790,0.034,87
34,32484,9734,24618,0.017,149
35,11084,10305,22858,0.578,142
36,8291,18612,21330,0.593,21
37,28459,6278,4180,0.572,157
38,28456,34506,34577,0.042,44
39,21331,29367,16057,0.056,72
40,3502,5134,3703,0.637,171
41,12031,26340,15029,0.866,29
42,26802,26791,5978,0.283,170
43,13575,26501,18494,0.053,106
44,20448,10369,31534,0.834,53
45,28647,5617,32772,0.76,143
46,21547,17470,30490,0.049,35
47,9666,19128,34587,0.381,3
48,18692,23441,13885,0.346,159
49,25106,7295,21662,0.933,113
50,20179,13455,7916,0.688,119
51,24248,15323,32569,0.457,67
52,26146,10526,32729,0.672,124
53,11900,4839,4483,0.704,31
54,12623,34102,14973,0.679,8
55,26380,6018,21000,0.771,137
56,29268,19031,17367,0.43,47
57,11223,10456,18130,0.46,53
58,477,4435,11041,0.271,165
59,3354,31443,2317,0.699,118
60,11458,29834,8156,0.447,133
61,21763,17893,34101,0.073,130
62,15251,949,23871,0.185,136
63,25528,22306,15930,0.889,120
64,14770,20799,4426,0.436,84
65,3650,7036,34992,0.892,96
66,14258,25041,30736,0.856,24
67,8755,7586,17126,0.708,153
68,3203,29386,6310,0.068,179
69,31331,28213,10975,0.647,121
70,34465,2229,28049,0.237,34
71,14183,11723,11792,0.687,3
72,30674,7914,21603,0.072,74
73,11737,19796,669,0.897,51
74,9533,9635,21617,0.661,122
75,11880,5595,16572,0.832,118
76,31582,24764,1839,0.217,86
77,10914,690,14872,0.377,157
78,23343,12256,22176,0.282,152
79,23787,18194,12457,0.473,49
80,34085,10375,20123,0.199,162
81,5513,31747,22640,0.856,84
82,18835,32207,5546,0.313,106
83,20306,10917,25810,0.337,40
84,7083,33056,27802,0.459,130
85,13351,21789,17772,0.762,53
86,20012,14641,18385,0.651,153
87,8622,18249,7844,0.319,53
88,13614,22031,365,0.651,32
89,1574,24000,23213,0.037,117
90,26481,22633,12621,0.629,89
91,24491,26430,10929,0.229,136
92,9452,11249,32668,0.18,45
93,28273,7112,23973,0.415,167
94,22072,20154,9642,0.275,121
95,12196,10198,27017,0.292,151
96,267,13757,12789,0.732,63
97,11178,15107,33976,0.534,97
98,175,17821,16753,0.67,111
99,10812,13309,27509,0.616,77
100,15892,6829,14548,0.114,164
101,19461,6339,27746,0.114,74
102,27988,33549,3882,0.393,153
103,20042,10906,34126,0.181,88
104,15045,23671,30610,0.026,94
105,23590,30745,20253,0.418,48
106,8836,30687,15981,0.926,179
107,17596,8665,20041,0.057,165
108,22389,30727,13774,0.127,160
109,31602,4143,20860,0.321,30
110,28397,8060,33356,0.593,79
111,7424,7524,10245,0.242,102
112,686,2346,7592,0.738,67
113,8094,4943,4034,0.817,91
114,4101,17346,27577,0.582,105
115,34472,5205,12390,0.204,95
116,6118,17183,34668,0.492,86
117,34792,2306,27550,0.166,144
118,20437,21686,19564,0.572,144
119,11313,26713,25543,0.076,8
120,21045,14440,19704,0.109,66
121,30979,11143,9290,0.042,21
122,34419,3449,27905,0.967,92
123,5755,20365,11918,0.39,35
124,11096,19089,26342,0.732,143
125,32603,7456,13488,0.965,173
126,549,24641,21167,0.236,76
127,33968,7737,7717,0.288,48
128,23258,33004,8206,0.894,172
129,21489,14023,14644,0.33,176
130,30800,15400,1224,0.823,168
131,19960,14836,14791,0.14,167
132,32953,34957,25159,0.92,135
133,22075,9946,27677,0.051,177
134,4622,3355,17819,0.053,34
135,18715,1680,23367,0.689,3
136,17957,12406,5495,0.523,97
137,34925,25823,7891,0.47,172
138,32016,484,29317,0.787,68
139,27317,9343,29161,0.181,90
140,8560,31458,6262,0.814,105
141,4892,16887,34445,0.056,104
142,7755,5819,19299,0.268,39
143,7319,16767,8103,0.185,42
144,31695,11645,1179,0.702,17
145,32054,32642,3086,0.837,3
146,7864,18070,32727,0.584,49
147,2766,15307,7685,0.529,50
148,14737,26812,14702,0.974,60
149,7662,18056,27729,0.777,66
150,9575,20798,23925,0.392,95
151,6591,11318,8070,0.635,145
152,8038,21192,25726,0.694,150
153,8908,15223,14452,0.019,127
154,16828,6087,8268,0.505,96
155,4251,28026,11145,0.565,162
156,2559,34085,30786,0.647,157
157,4542,1084,28160,0.371,150
158,11820,18289,34131,0.708,89
159,23295,23175,6962,0.693,14
160,28633,8804,28497,0.061,50
161,23498,5324,7053,0.103,138
162,13198,27450,14311,0.751,153
163,31148,21580,19028,0.064,152
164,18934,29523,13116,0.224,18
165,21071,33618,25404,0.392,104
166,6735,19229,29136,0.527,51
167,26128,11928,12755,0.731,100
168,33633,27503,28193,0.184,121
169,27979,6213,4878,0.959,171
170,9520,27223,12795,0.779,148
171,17677,22924,16113,0.445,87
172,22525,1380,31088,0.554,45
173,11655,7210,12409,0.783,75
174,5637,4385,3868,0.305,49
175,26289,5712,7982,0.963,175
176,24476,8709,25472,0.435,15
177,22803,28031,30402,0.563,72
178,11646,18018,1815,0.709,162
179,609,27636,22853,0.166,106
180,5805,12532,19920,0.547,90
181,26505,22293,19895,0.527,4
182,14822,21615,2786,0.172,171
183,30312,33515,20741,0.117,69
184,8776,24137,12222,0.311,28
185,4701,7306,30033,0.136,134
186,11624,4540,24737,0.839,113
187,4438,4495,28141,0.023,178
188,33189,21368,15688,0.369,165
189,8767,10806,11261,0.872,157
190,19251,31227,29339,0.774,80
191,27526,31612,2478,0.683,87
192,13310,10255,29344,0.311,43
193,29936,29158,15475,0.587,118
194,14700,21427,12554,0.236,43
195,3164,6456,18899,0.946,152
196,13367,626,14424,0.396,172
197,5466,32913,9333,0.618,17
198,19007,30731,3724,0.773,3
199,17940,30526,34506,0.075,104
200,29472,31354,9027,0.731,43
201,22385,16792,1692,0.289,10
202,22147,24173,29218,0.104,40
203,28641,15132,8337,0.229,61
204,2001,34462,24923,0.386,71
205,32844,2197,29783,0.242,20
206,2096,30638,10434,0.81,130
207,13302,17052,19852,0.658,51
208,3728,5137,11607,0.355,122
209,19373,22860,3229,0.344,113
210,18827,12832,34694,0.266,27
