warranty_event_id,vehicle_id,claim_cost,failure_confirmed
1,5310,721.66,0
2,33468,335.28,1
3,34925,3497.79,0
4,1418,4931.62,0
5,14442,2352.61,0
6,19948,865.68,0
7,34933,3546.44,1
8,13199,164.41,1
9,94,1754.46,0
10,16266,3087.96,0
11,11385,1826.7,0
12,2107,2516.16,0
13,15573,398.83,1
14,2973,847.9,1
15,31972,3263.91,1
16,8127,2843.41,1
17,15136,2157.01,1
18,27925,4281.85,1
19,15036,711.3,1
20,1023,560.91,1
21,8348,3826.84,0
22,1985,4923.49,1
23,9930,3815.41,0
24,13738,453.56,0
25,90,338.57,1
26,2469,4842.0,0
27,11933,1886.28,0
28,10125,2060.06,1
29,4401,1703.61,1
30,25456,3888.02,0
31,1249,115.77,0
32,4997,1610.19,1
33,22235,248.69,0
34,21686,1648.59,0
35,28705,4420.26,0
36,10102,1536.69,1
37,19659,3182.97,0
38,15704,4080.01,0
39,24509,2772.64,1
40,30218,1621.35,0
41,22570,1923.0,0
42,31262,4705.23,0
43,6706,550.47,0
44,33256,335.59,1
45,10682,3506.77,0
46,14574,829.35,0
47,23559,603.42,0
48,3201,4603.76,1
49,11965,4090.84,1
50,24059,2699.07,0
51,23914,4174.25,1
52,10158,3403.6,0
53,24027,3754.17,1
54,6397,3936.42,0
55,10185,2784.67,1
56,8186,2239.44,0
57,6238,3635.3,0
58,28506,4270.33,0
59,1682,4972.7,1
60,27333,2965.51,1
61,29839,1149.09,0
62,1642,2913.54,1
63,24098,2364.64,0
64,31189,2606.93,0
65,8315,1888.08,0
66,16133,3906.99,1
67,7222,3043.44,0
68,20721,3144.75,1
69,11056,4112.37,0
70,30156,397.63,0
71,110,2222.56,0
72,444,1263.1,1
73,992,2674.87,1
74,33429,3949.48,0
75,10019,4512.41,1
76,7571,3125.98,1
77,25344,2888.52,1
78,32322,1677.62,1
79,16669,3383.95,0
80,7826,663.68,1
81,14447,855.91,0
82,751,1222.93,0
83,6214,3593.79,0
84,20163,2060.45,0
85,12594,3493.37,0
86,27158,1787.96,0
87,3781,3739.48,1
88,11133,1031.92,1
89,5247,2704.33,1
90,33570,4551.08,1
91,22381,1823.03,1
92,11271,4906.45,1
93,24713,3776.26,1
94,33596,3984.91,1
95,25114,2309.31,1
96,1363,2759.55,0
97,27108,1931.45,1
98,12237,3274.87,1
99,16352,1837.43,0
100,3523,3084.77,1
101,25347,4121.81,1
102,3388,2172.91,1
103,8651,4607.27,0
104,11282,3994.78,0
105,30580,4187.71,1
106,32038,1118.03,1
107,1440,1086.86,0
108,25139,1467.04,0
109,1421,4410.16,0
110,26233,4436.41,1
111,8483,3953.56,1
112,3103,3108.37,1
113,28874,1303.67,0
114,9273,4862.53,0
115,24493,239.76,1
116,10623,4018.38,0
117,28780,2240.67,0
118,34401,3765.81,1
119,34729,837.83,0
120,17619,4393.2,1
121,1608,1017.94,1
122,7090,4410.44,1
123,34503,2610.37,1
124,16015,547.85,1
125,19826,926.96,1
126,10538,1813.22,0
127,10571,3449.11,1
128,1458,1925.03,1
129,20062,3321.9,1
130,32767,3297.61,0
131,20117,3367.1,0
132,20278,258.38,0
133,18869,4617.69,1
134,32261,3422.59,0
135,2747,3957.5,0
136,12570,2855.84,0
137,1341,233.83,0
138,17495,1322.87,1
139,6380,4592.51,1
140,29271,4119.5,1
141,10486,1011.99,0
142,27828,711.97,1
143,8677,1732.84,0
144,19866,2244.79,0
145,7873,771.24,1
146,34076,1663.9,0
147,24703,677.25,0
148,14479,1105.91,0
149,27344,2721.05,0
150,486,4629.68,1
151,23729,1655.35,0
152,5431,1521.11,1
153,32120,2273.77,0
154,15665,2703.0,1
155,15731,2327.17,0
156,22841,3031.6,0
157,5277,2727.38,1
158,5092,1729.66,1
159,10980,2222.49,0
160,17433,4537.88,1
161,32168,710.57,0
162,33570,1164.88,0
163,24442,3461.75,1
164,34689,3254.92,1
165,30491,244.21,0
166,31937,345.81,1
167,27352,3785.88,0
168,30198,128.38,1
169,22369,2408.81,0
170,19567,4282.71,0
171,2210,2807.69,1
172,26596,3811.79,1
173,27045,1353.23,1
174,18007,3757.6,1
175,18085,4552.18,1
176,18724,3282.31,0
177,33968,3026.34,1
178,62,2436.54,0
179,2875,534.01,1
180,25945,4549.43,0
181,3737,3323.22,1
182,15324,4856.57,0
183,14488,1073.1,0
184,13843,4420.82,1
185,22162,3783.44,1
186,11197,4781.36,1
187,27157,1339.36,1
188,16735,1358.97,1
